ligand,display,category,scope,formal_charge,nitrogen_atoms,has_permanent_cation,has_anion,heavy_atoms,mol_wt,SMILES
DEET,DEET,Environmental,non-alkaloid uncharged,0,1,False,False,14,191.274,CCN(CC)C(=O)C1=CC=CC(=C1)C
uric acid,uric acid,Metabolites,non-alkaloid uncharged,0,4,False,False,12,168.112,C12=C(NC(=O)N1)NC(=O)NC2=O
sodium L-lactate,sodium L-lactate,Other,non-alkaloid charged,0,0,True,True,7,112.05999999999999,C[C@@H](C(=O)[O-])O.[Na+]
creatinine,creatinine,Metabolites,non-alkaloid uncharged,0,3,False,False,8,113.12,CN1CC(=O)N=C1N
taurine,taurine,Metabolites,non-alkaloid uncharged,0,1,False,False,7,125.14899999999999,C(CS(=O)(=O)O)N
D-(+)-glucosamine hydrochloride,glucosamine,Other,non-alkaloid uncharged,0,1,False,False,13,215.633,C([C@H]([C@H]([C@@H]([C@H](C=O)N)O)O)O)O.Cl
L-carnosine,L-carnosine,Amino Acids,non-alkaloid uncharged,0,4,False,False,16,226.23599999999996,C1=C(NC=N1)C[C@@H](C(=O)O)NC(=O)CCN
l-carnitine,l-carnitine,Metabolites,non-alkaloid charged,0,1,True,True,11,161.201,C[N+](C)(C)C[C@@H](CC(=O)[O-])O
beta hydroxybutyrate,beta hydroxybutyrate,Metabolites,non-alkaloid charged,-1,0,False,True,7,103.09699999999998,CC(CC(=O)[O-])O
tryptamine hydrochloride,tryptamine,Neurotransmitters,alkaloid-like,0,2,False,False,13,196.68099999999995,C1=CC=C2C(=C1)C(=CN2)CCN.Cl
ciprofloxacin hydrochloride hydrate,ciprofloxacin,Pharmaceuticals,non-alkaloid uncharged,0,3,False,False,26,385.82300000000004,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O.O.Cl
theophylline,theophylline,Stimulants,alkaloid-like,0,4,False,False,13,180.167,CN1C2=C(C(=O)N(C1=O)C)NC=N2
rosuvastatin,rosuvastatin,Pharmaceuticals,non-alkaloid uncharged,0,3,False,False,33,481.54600000000016,CC(C)C1=NC(=NC(=C1/C=C/[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C
thiamine (hydrochloride),thiamine,Metabolites,non-alkaloid charged,0,4,True,True,20,337.27599999999995,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO.Cl.[Cl-]
nicotinamide,nicotinamide,Metabolites,alkaloid-like,0,2,False,False,9,122.12699999999998,C1=CC(=CN=C1)C(=O)N
glyphosate,glyphosate,Environmental,non-alkaloid uncharged,0,1,False,False,10,169.073,C(C(=O)O)NCP(=O)(O)O
citrulline,citrulline,Metabolites,non-alkaloid uncharged,0,3,False,False,12,175.188,C(C[C@@H](C(=O)O)N)CNC(=O)N
L-(+)-ergothioneine,ergothioneine,Metabolites,non-alkaloid charged,0,4,True,True,16,226.27999999999997,CC[N+](C)(C)C1=CN=C(N1)C(CC(=O)[O-])N
"L-glutathione, reduced","L-glutathione, reduced",Metabolites,non-alkaloid uncharged,0,3,False,False,20,307.32800000000003,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O
-atenolol,-atenolol,Pharmaceuticals,non-alkaloid uncharged,0,2,False,False,19,266.34099999999995,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1
betahistine,betahistine,Neurotransmitters,alkaloid-like,0,2,False,False,10,136.19799999999998,CCNCC1=CN=CC=C1
3-methyl-L-histidine,3-methyl-L-histidine,Amino Acids,non-alkaloid uncharged,0,3,False,False,12,169.184,CN1C=NC(CC(N)C(=O)O)=C1
L-theanine,L-theanine,Amino Acids,non-alkaloid uncharged,0,2,False,False,12,174.2,CCNC(=O)CCC(N)C(=O)O
ritalinic acid,ritalinic acid,Stimulants,alkaloid-like,0,1,False,False,16,219.28400000000005,OC(=O)C(C1CCCCN1)C2=CC=CC=C2
DEHP,DEHP,Environmental,non-alkaloid uncharged,0,0,False,False,28,390.5640000000003,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC
everolimus,everolimus,Pharmaceuticals,non-alkaloid uncharged,0,2,False,False,76,1077.4039999999998,COC1CC(CCC1OCCO)CC(C)C2CC(=O)C(C)=CC=CC=CC(OC)C(OC3OC(C)CC(C3O)N(C)C)C(C)CC(C)C(=O)C(OC)C(O)C(C)=CC(C)C(=O)C4CCN(C)CC4OC(=O)C(C)(CO)O2
cyclosporin A,cyclosporin A,Pharmaceuticals,non-alkaloid uncharged,0,11,False,False,85,1202.634999999999,CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
Atrazine,Atrazine,Environmental,non-alkaloid uncharged,0,5,False,False,14,215.68800000000002,CCNC1=NC(=NC(=N1)Cl)NC(C)C
tyramine,tyramine,Neurotransmitters,non-alkaloid uncharged,0,1,False,False,10,137.18199999999996,NCCC1=CC=C(O)C=C1
carbamazepine,carbamazepine,Pharmaceuticals,non-alkaloid uncharged,0,2,False,False,18,236.274,NC(=O)N1C2=CC=CC=C2C=CC3=CC=CC=C13
melatonin,melatonin,Metabolites,alkaloid-like,0,2,False,False,17,232.283,COC1=CC2=C(NC=C2CCNC(C)=O)C=C1
phenytoin,phenytoin,Pharmaceuticals,non-alkaloid uncharged,0,2,False,False,19,252.27300000000002,O=C1NC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)N1
colchicine,colchicine,Pharmaceuticals,non-alkaloid uncharged,0,1,False,False,23,315.3250000000001,COC1=CC2=C(C(=O)C(C)=CC(=O)C=C2NC(C)=O)C=C1OC
lamotrigine,lamotrigine,Pharmaceuticals,non-alkaloid uncharged,0,5,False,False,16,256.096,NC1=NC(=C(N=N1)C2=CC=CC(Cl)=C2Cl)N
17 beta estradiol,estradiol,Hormones/Steroids,non-alkaloid uncharged,0,0,False,False,20,272.388,CC12CCC3C(CCC4=CC(O)=CC=C34)C1CCC2O
DHEA,DHEA,Hormones/Steroids,non-alkaloid uncharged,0,0,False,False,20,274.40399999999994,CC12CCC3C(CCC4=CC(=O)CCC34)C1CCC2O
corticosterone,corticosterone,Hormones/Steroids,non-alkaloid uncharged,0,0,False,False,25,346.46700000000016,CC12CCC(=O)C=C1CCC3C2C(O)CC4(C3CCC4C(=O)CO)C
progesterone,progesterone,Hormones/Steroids,non-alkaloid uncharged,0,0,False,False,23,314.4690000000001,CC(=O)C1CCC2C1(C)CCC3C2CCC4=CC(=O)CCC34C
mono(2‐ethylhexyl) phthalate (mehp),MEHP,Environmental,non-alkaloid uncharged,0,0,False,False,20,278.348,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)O
Fipronil,Fipronil,Environmental,non-alkaloid uncharged,0,4,False,False,30,499.16999999999996,C1=C(C=C(C(=C1C#N)N)C(F)(F)F)C(=NN2C(=C(C(=C2Cl)F)F)Cl)S(=O)C(F)(F)F
Acetaminophen,Acetaminophen,Pharmaceuticals,non-alkaloid uncharged,0,1,False,False,11,151.165,CC(=O)NC1=CC=C(O)C=C1
valproic acid sodium salt,valproic acid,Pharmaceuticals,non-alkaloid charged,0,0,True,True,11,166.196,CCCC(CCC)C(=O)[O-].[Na+]
Histamine dihydrochloride,histamine,Neurotransmitters,alkaloid-like,0,3,False,False,8,111.14799999999998,NCCC1=CN=CN1
Caffeine,Caffeine,Stimulants,alkaloid-like,0,4,False,False,14,194.194,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
Nicotine,Nicotine,Stimulants,alkaloid-like,0,2,False,False,12,162.23600000000002,CN1CCCC1C2=CN=CC=C2
phthalic acid,phthalic acid,Environmental,non-alkaloid uncharged,0,0,False,False,12,166.13199999999998,OC(=O)C1=CC=CC=C1C(=O)O
methylsilanetriol (MST),methylsilanetriol (MST),Other,non-alkaloid uncharged,0,0,False,False,5,94.14199999999998,C[Si](O)(O)O
glyburide (potassium salt),glyburide (potassium salt),Pharmaceuticals,non-alkaloid uncharged,0,3,False,False,33,494.0130000000003,COC1=CC=C(Cl)C=C1C(=O)NCCC2=CC=C(S(=O)(=O)NC(=O)NC3CCCCC3)C=C2
D-neopterin,D-neopterin,Metabolites,non-alkaloid uncharged,0,6,False,False,19,268.233,NC1=NC(=O)C2=C(N1)N=C(C(O)C(O)CO)N=C2N
aspartame,aspartame,Metabolites,non-alkaloid uncharged,0,2,False,False,21,294.307,COC(=O)C(CC1=CC=CC=C1)NC(=O)C(N)CC(=O)O
l-thyroxine,l-thyroxine,Hormones/Steroids,non-alkaloid uncharged,0,1,False,False,24,776.8720000000001,NC(CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(=O)O
milirinone,milirinone,Other,non-alkaloid uncharged,0,5,False,False,23,305.34100000000007,CC1=C(C=C(C#N)C(=O)N1)C2=CC=C(C=C2)C3=CN=C(NC3)N
T3,T3,Hormones/Steroids,non-alkaloid uncharged,0,1,False,False,23,650.9760000000001,NC(CC1=CC(I)=C(OC2=CC=C(O)C(I)=C2)C(I)=C1)C(=O)O
bilirubin,bilirubin,Metabolites,non-alkaloid uncharged,0,3,False,False,30,407.47000000000025,CC1=C(C(C)=C(N1)C=C2C(=O)NC(=C2C)C=C3NC(=O)C(=C3C)C=C)CCC(=O)O
digoxin,digoxin,Pharmaceuticals,non-alkaloid uncharged,0,0,False,False,55,780.9490000000003,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C7(C)C(C8=CC(=O)OC8)CCC67)C4)OC3C)OC2C)C(O)C(O)C1O
folic acid,folic acid,Metabolites,non-alkaloid uncharged,0,7,False,False,32,441.40400000000017,NC1=NC2=NC=C(CNC3=CC=C(C(=O)NC(CCC(=O)O)C(=O)O)C=C3)N=C2C(=O)N1
theobromine,theobromine,Stimulants,alkaloid-like,0,4,False,False,13,180.16699999999997,CN1C=NC2=C1C(=O)NC(=O)N2C
atorvastatin (calcium salt hydrate),atorvastatin,Pharmaceuticals,non-alkaloid uncharged,0,2,False,False,31,422.50000000000017,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(C3=CC=C(F)C=C3)C(C(=O)O)=C(N1)C(C)C
(-)-epinepherine (+)-bitartrate salt,epinephrine,Other,non-alkaloid uncharged,0,1,False,False,13,183.207,CNCC(O)C1=CC(O)=C(O)C=C1
dopamine,dopamine,Neurotransmitters,non-alkaloid uncharged,0,1,False,False,11,153.18099999999998,NCCC1=CC(O)=C(O)C=C1
L-dopa,L-dopa,Neurotransmitters,non-alkaloid uncharged,0,1,False,False,14,197.18999999999997,NC(CC1=CC(O)=C(O)C=C1)C(=O)O
carbadopa,carbadopa,Neurotransmitters,non-alkaloid uncharged,0,2,False,False,16,226.232,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN
(–)-Norepinephrine (bitartrate hydrate),norepinephrine,Neurotransmitters,non-alkaloid uncharged,0,1,False,False,23,337.2810000000001,C1=CC(=C(C=C1[C@H](CN)O)O)O.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O.O
